caller_id,callee_id,started_at,duration
+54 398 559 0423,+48 195 624 2025,2018-09-16T22:24:19,122
+263 498 495 0617,+48 195 624 2025,2018-09-18T01:34:48,514
+81 308 988 7153,+33 614 339 0298,2018-09-21T20:21:17,120
+263 498 495 0617,+33 614 339 0298,2018-09-17T22:10:34,144
+54 398 559 0423,+7 552 196 4096,2018-09-25T20:24:59,556
+81 308 988 7153,+351 515 605 7915,2018-09-23T22:23:25,336
+261 860 539 4754,+351 272 414 6570,2018-09-26T05:34:19,405
+62 107 530 7500,+263 498 495 0617,2018-09-25T22:58:02,5665
+54 398 559 0423,+86 892 682 0628,2018-09-23T08:55:18,822
+7 690 597 4443,+54 398 559 0423,2018-09-25T09:10:25,8494
+263 498 495 0617,+7 414 625 3019,2018-09-19T20:31:39,12
+7 171 898 0853,+57 629 420 5680,2018-09-17T10:47:21,29
+81 308 988 7153,+261 860 539 4754,2018-09-25T06:21:55,2851
+263 498 495 0617,+48 195 624 2025,2018-09-26T03:37:06,573
+81 308 988 7153,+1 254 875 4647,2018-09-19T08:19:36,66
+370 351 224 5176,+63 815 962 6097,2018-09-25T19:44:03,3682
+81 746 154 2598,+351 515 605 7915,2018-09-20T13:27:42,32
+370 351 224 5176,+86 921 547 9004,2018-09-20T00:56:31,1434
+81 746 154 2598,+7 414 625 3019,2018-09-18T18:47:17,166
+62 107 530 7500,+86 202 257 8619,2018-09-22T17:27:52,112
+81 308 988 7153,+351 515 605 7915,2018-09-16T03:38:09,1142
+7 171 898 0853,+86 202 257 8619,2018-09-23T14:57:25,1665
+81 308 988 7153,+86 922 760 0418,2018-09-27T05:08:53,365
+263 498 495 0617,+36 318 105 5629,2018-09-16T01:44:31,96
+7 690 597 4443,+63 808 497 1769,2018-09-20T12:27:48,766
+81 746 154 2598,+27 117 258 4149,2018-09-27T11:28:11,710
+261 860 539 4754,+48 195 624 2025,2018-09-18T23:24:30,151
+7 171 898 0853,+86 892 682 0628,2018-09-26T14:04:33,5710
+81 746 154 2598,+81 308 988 7153,2018-09-24T04:12:07,9923
+81 308 988 7153,+261 860 539 4754,2018-09-21T22:54:31,4264
+263 498 495 0617,+48 195 624 2025,2018-09-22T21:17:48,202
+7 690 597 4443,+48 195 624 2025,2018-09-17T22:55:06,151
+81 308 988 7153,+86 922 760 0418,2018-09-24T10:16:51,2895
+7 690 597 4443,+63 808 497 1769,2018-09-23T15:37:45,251
+54 398 559 0423,+86 921 547 9004,2018-09-25T11:34:35,139
+370 351 224 5176,+351 272 414 6570,2018-09-22T03:13:47,140
+261 860 539 4754,+62 107 530 7500,2018-09-16T19:18:32,3660
+7 690 597 4443,+30 419 575 7546,2018-09-21T21:42:00,582
+7 690 597 4443,+351 515 605 7915,2018-09-19T01:00:38,141
+81 308 988 7153,+63 808 497 1769,2018-09-24T03:16:48,89
+261 860 539 4754,+86 892 682 0628,2018-09-26T19:47:20,21
+7 690 597 4443,+48 697 447 6933,2018-09-26T23:47:19,144
+81 746 154 2598,+86 922 760 0418,2018-09-18T04:54:04,163
+370 351 224 5176,+62 533 266 3426,2018-09-19T02:11:53,2681
+63 815 962 6097,+36 318 105 5629,2018-09-23T14:14:42,492
+62 107 530 7500,+351 272 414 6570,2018-09-27T04:00:59,384
