first_name,last_name,phone_number,city,age
Melli,Winchcum,+7 171 898 0853,London,55
Celinda,Bonick,+370 351 224 5176,London,52
Chryste,Lilywhite,+81 308 988 7153,London,66
D'arcy,Byfford,+54 398 559 0423,London,19
Xylina,D'Alesco,+7 690 597 4443,Cambridge,51
Roldan,Cometti,+263 498 495 0617,Oxford,59
Cob,Lafflin,+63 815 962 6097,Cambridge,56
Olag,Heakey,+81 746 154 2598,London,45
Mandie,Assender,+261 860 539 4754,London,18
Elenore,Stokey,+62 107 530 7500,Oxford,35
,,+86 921 547 9004,,
,,+48 894 777 5173,,
,,+86 922 760 0418,,
,,+33 614 339 0298,,
,,+30 419 575 7546,,
,,+7 414 625 3019,,
,,+57 629 420 5680,,
,,+351 515 605 7915,,
,,+36 318 105 5629,,
,,+63 808 497 1769,,
,,+62 533 266 3426,,
,,+351 272 414 6570,,
,,+86 825 153 5518,,
,,+86 202 257 8619,,
,,+27 117 258 4149,,
,,+48 697 447 6933,,
,,+48 195 624 2025,,
,,+1 254 875 4647,,
,,+7 552 196 4096,,
,,+86 892 682 0628,,
